PRODUCTO,PRECIO,QTDAD,AGREGAR
Mayordomo,26,1,FALSE
Papel de bano bolsa grande,55,1,FALSE
Papel de bano bolsa peque,16,1,FALSE
Cloro,16,1,FALSE
Desifectante,10,1,FALSE
Kiwi (lb),16,1,FALSE
Leche de coco SILK,22,1,FALSE
Gengibre,9,1,FALSE
Canela,9,1,FALSE
Yogurt,30,1,FALSE
Desodorante,60,1,FALSE
Sal,6,1,FALSE
Atun,15,1,FALSE
Jabon de ropa,40,1,FALSE
Jabon de plato,10,1,FALSE
Jabon cuerpo,15,1,FALSE
Suavitel,30,1,FALSE
Vanish color,26,1,FALSE
Vanish blanco,26,1,FALSE
Bolsa basura grande,30,1,FALSE
Bolsa basura peque,30,1,FALSE
Azucar,22,1,FALSE
Aceite Oliva,89,1,FALSE
Frijoles,8,1,FALSE
Pepinos,50,1,FALSE
Razuradoras,20,1,FALSE
Ajos,5,1,FALSE
Cebollas,9,1,FALSE
Avena,8,1,FALSE
Incaparina,8,1,FALSE
Mantequilla de mani,60,1,FALSE
Pasta diente,12,1,FALSE
Shampoo,28,1,FALSE
Limpia vidrio,16,1,FALSE
Enjuague bucal,45,1,FALSE
Protectores,26,1,FALSE
Servietas,23,1,FALSE
Aceite ,23,1,FALSE
